dates,producto,precio_mean
2014-01-13,PAPA HUAMANTANGA,1.54
2014-01-13,PAPA PERUANITA (INJERTO),1.54
2014-01-14,PAPA AMARILLA,1.88
2014-01-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2014-01-14,PAPA HUAMANTANGA,1.53
2014-01-14,PAPA PERUANITA (INJERTO),1.56
2014-01-15,PAPA AMARILLA,1.68
2014-01-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.26
2014-01-15,PAPA HUAMANTANGA,1.4
2014-01-15,PAPA PERUANITA (INJERTO),1.53
2014-01-16,PAPA AMARILLA,1.88
2014-01-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.3
2014-01-16,PAPA HUAMANTANGA,1.36
2014-01-16,PAPA PERUANITA (INJERTO),1.58
2014-01-17,PAPA AMARILLA,1.9
2014-01-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.28
2014-01-17,PAPA HUAMANTANGA,1.43
2014-01-17,PAPA PERUANITA (INJERTO),1.53
2014-01-18,PAPA AMARILLA,1.88
2014-01-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.3
2014-01-18,PAPA HUAMANTANGA,1.28
2014-01-18,PAPA PERUANITA (INJERTO),1.56
2014-01-19,PAPA AMARILLA,1.93
2014-01-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.33
2014-01-19,PAPA HUAMANTANGA,1.35
2014-01-19,PAPA PERUANITA (INJERTO),1.55
2014-01-20,PAPA AMARILLA,1.95
2014-01-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2014-01-20,PAPA HUAMANTANGA,1.41
2014-01-20,PAPA PERUANITA (INJERTO),1.53
2014-01-21,PAPA AMARILLA,1.93
2014-01-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-01-21,PAPA HUAMANTANGA,1.35
2014-01-21,PAPA PERUANITA (INJERTO),1.53
2014-01-22,PAPA AMARILLA,1.83
2014-01-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.18
2014-01-22,PAPA HUAMANTANGA,1.25
2014-01-22,PAPA PERUANITA (INJERTO),1.51
2014-01-23,PAPA AMARILLA,1.71
2014-01-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2014-01-23,PAPA HUAMANTANGA,1.05
2014-01-23,PAPA PERUANITA (INJERTO),1.4
2014-01-24,PAPA AMARILLA,1.53
2014-01-24,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.23
2014-01-24,PAPA HUAMANTANGA,1.08
2014-01-24,PAPA PERUANITA (INJERTO),1.53
2014-01-25,PAPA AMARILLA,1.6
2014-01-25,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.18
2014-01-25,PAPA HUAMANTANGA,1.08
2014-01-25,PAPA PERUANITA (INJERTO),1.48
2014-01-26,PAPA AMARILLA,1.68
2014-01-26,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2014-01-26,PAPA HUAMANTANGA,1.13
2014-01-26,PAPA PERUANITA (INJERTO),1.45
2014-01-27,PAPA AMARILLA,1.73
2014-01-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-01-27,PAPA HUAMANTANGA,1.16
2014-01-27,PAPA PERUANITA (INJERTO),1.46
2014-01-28,PAPA AMARILLA,1.5
2014-01-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2014-01-28,PAPA HUAMANTANGA,1.19
2014-01-28,PAPA PERUANITA (INJERTO),1.36
2014-01-29,PAPA AMARILLA,1.46
2014-01-29,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.22
2014-01-29,PAPA HUAMANTANGA,1.05
2014-01-29,PAPA PERUANITA (INJERTO),1.48
2014-01-30,PAPA AMARILLA,1.46
2014-01-30,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.19
2014-01-30,PAPA HUAMANTANGA,1.1
2014-01-30,PAPA PERUANITA (INJERTO),1.46
2014-01-31,PAPA AMARILLA,1.55
2014-01-31,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.19
2014-01-31,PAPA HUAMANTANGA,1.0
2014-01-31,PAPA PERUANITA (INJERTO),1.53
2014-02-01,PAPA AMARILLA,1.43
2014-02-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.19
2014-02-01,PAPA HUAMANTANGA,1.14
2014-02-01,PAPA PERUANITA (INJERTO),1.43
2014-02-02,PAPA AMARILLA,1.33
2014-02-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.1
2014-02-02,PAPA HUAMANTANGA,1.15
2014-02-02,PAPA PERUANITA (INJERTO),1.34
2014-02-03,PAPA AMARILLA,1.26
2014-02-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.01
2014-02-03,PAPA HUAMANTANGA,1.15
2014-02-03,PAPA PERUANITA (INJERTO),1.23
2014-02-04,PAPA AMARILLA,1.23
2014-02-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.13
2014-02-04,PAPA HUAMANTANGA,1.09
2014-02-04,PAPA PERUANITA (INJERTO),1.25
2014-02-05,PAPA AMARILLA,1.33
2014-02-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.18
2014-02-05,PAPA HUAMANTANGA,1.06
2014-02-05,PAPA PERUANITA (INJERTO),1.29
2014-02-06,PAPA AMARILLA,1.28
2014-02-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.23
2014-02-06,PAPA HUAMANTANGA,1.13
2014-02-06,PAPA PERUANITA (INJERTO),1.36
