FECHA,TEMPERATURA
2018-07-08,2.0541666666666667
2018-07-09,0.19583333333333333
2018-07-10,0.2625
2018-07-11,0.6833333333333332
2018-07-12,0.3666666666666667
2018-07-13,-0.08333333333333336
2018-07-14,1.275
2018-07-15,0.7708333333333334
2018-07-16,0.3875
2018-07-17,0.7708333333333334
2018-07-18,1.825
2018-07-19,0.8416666666666667
2018-07-20,0.17500000000000002
2018-07-21,1.125
2018-07-22,1.1375
2018-07-23,1.9541666666666666
2018-07-24,1.1416666666666666
2018-07-25,1.5541666666666665
2018-07-26,1.866666666666667
2018-07-27,2.504166666666667
2018-07-28,3.5416666666666665
2018-07-29,3.5
2018-07-30,3.8708333333333336
2018-07-31,3.670833333333333
2018-08-01,1.7916666666666667
2018-08-02,1.8875
2018-08-03,2.316666666666667
2018-08-04,3.1999999999999997
