date,cantidad (TM)
2021-06-04,925
2021-06-05,776
2021-06-06,333
2021-06-07,186
2021-06-08,641
2021-06-09,505
2021-06-10,694
2021-06-11,752
2021-06-12,825
2021-06-13,625
2021-06-14,270
2021-06-15,660
2021-06-16,473
2021-06-17,931
2021-06-18,846
2021-06-19,791
2021-06-20,496
2021-06-21,164
2021-06-22,303
2021-06-23,443
2021-06-24,828
2021-06-25,554
2021-06-26,667
2021-06-27,559
2021-06-28,289
2021-06-29,586
2021-06-30,533
2021-07-01,981
2021-07-02,720
2021-07-03,904
2021-07-04,407
2021-07-05,469
2021-07-06,482
2021-07-07,192
2021-07-08,537
2021-07-09,569
2021-07-10,410
2021-07-11,549
2021-07-12,212
2021-07-13,558
2021-07-14,377
2021-07-15,691
2021-07-16,594
2021-07-17,637
2021-07-18,450
2021-07-19,329
2021-07-20,399
2021-07-21,392
2021-07-22,690
2021-07-23,442
2021-07-24,464
2021-07-25,391
2021-07-26,168
2021-07-27,427
2021-07-28,79
2021-07-29,614
2021-07-30,512
2021-07-31,402
2021-08-01,263
2021-08-02,175
2021-08-03,389
2021-08-04,342
2021-08-05,601
2021-08-06,370
2021-08-07,675
2021-08-08,331
2021-08-09,115
2021-08-10,491
2021-08-11,383
2021-08-12,592
2021-08-13,466
2021-08-14,522
2021-08-15,333
2021-08-16,181
2021-08-17,368
2021-08-18,325
2021-08-19,565
2021-08-20,420
2021-08-21,418
2021-08-22,214
2021-08-23,56
2021-08-24,470
2021-08-25,320
2021-08-26,564
2021-08-27,336
2021-08-28,434
2021-08-29,182
2021-08-30,67
2021-08-31,428
2021-09-01,281
2021-09-02,548
2021-09-03,336
2021-09-04,350
2021-09-05,251
2021-09-06,82
2021-09-07,594
2021-09-08,187
2021-09-09,644
2021-09-10,398
2021-09-11,593
2021-09-12,308
2021-09-13,119
2021-09-14,277
2021-09-15,301
2021-09-16,532
2021-09-17,237
2021-09-18,402
2021-09-19,150
2021-09-20,63
2021-09-21,411
2021-09-22,233
2021-09-23,521
2021-09-24,226
2021-09-25,364
2021-09-26,153
2021-09-27,6
2021-09-28,404
2021-09-29,202
2021-09-30,427
2021-10-01,286
2021-10-02,327
2021-10-03,207
2021-10-04,32
2021-10-05,485
2021-10-06,149
2021-10-07,173
2021-10-08,266
2021-10-09,208
2021-10-10,151
2021-10-11,29
2021-10-12,370
2021-10-13,219
2021-10-14,497
2021-10-15,315
2021-10-16,434
2021-10-17,101
2021-10-18,66
2021-10-19,367
2021-10-20,203
2021-10-21,384
2021-10-22,367
2021-10-23,462
2021-10-24,193
2021-10-25,21
2021-10-26,474
2021-10-27,157
2021-10-28,319
2021-10-29,203
2021-10-30,427
2021-10-31,141
2021-11-01,48
2021-11-02,344
2021-11-03,188
2021-11-04,459
2021-11-05,404
2021-11-06,467
2021-11-07,443
2021-11-08,195
2021-11-09,353
2021-11-10,123
2021-11-11,375
2021-11-12,231
2021-11-13,569
2021-11-14,322
2021-11-15,56
2021-11-16,473
2021-11-17,279
2021-11-18,398
2021-11-19,339
2021-11-20,470
2021-11-21,197
2021-11-22,12
2021-11-23,537
2021-11-24,301
2021-11-25,444
2021-11-26,98
2021-11-27,503
2021-11-28,213
2021-11-29,53
2021-11-30,404
2021-12-01,283
2021-12-02,287
2021-12-03,267
2021-12-04,295
2021-12-05,141
2021-12-06,69
2021-12-07,453
2021-12-08,223
2021-12-09,446
2021-12-10,453
2021-12-11,505
2021-12-12,257
2021-12-13,113
2021-12-14,496
2021-12-15,289
2021-12-16,451
2021-12-17,399
2021-12-18,597
2021-12-19,252
2021-12-20,36
2021-12-21,435
2021-12-22,244
2021-12-23,601
2021-12-24,619
2021-12-25,45
2021-12-26,189
2021-12-27,92
2021-12-28,575
2021-12-29,440
2021-12-30,814
2021-12-31,596
2022-01-01,8
2022-01-02,75
2022-01-03,95
2022-01-04,543
2022-01-05,498
2022-01-06,705
2022-01-07,523
2022-01-08,489
2022-01-09,369
2022-01-10,262
2022-01-11,483
2022-01-12,314
2022-01-13,505
2022-01-14,625
2022-01-15,563
2022-01-16,313
2022-01-17,76
2022-01-18,501
2022-01-19,579
2022-01-20,728
2022-01-21,606
2022-01-22,577
2022-01-23,333
2022-01-24,250
2022-01-25,359
2022-01-26,274
2022-01-27,442
2022-01-28,457
2022-01-29,617
2022-01-30,366
2022-01-31,134
2022-02-01,429
2022-02-02,494
