dates,producto,precio_mean
2018-12-01,PAPA HUAMANTANGA,1.6
2018-12-01,PAPA PERUANITA (INJERTO),2.35
2018-12-02,PAPA AMARILLA,2.73
2018-12-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.95
2018-12-02,PAPA HUAMANTANGA,1.57
2018-12-02,PAPA PERUANITA (INJERTO),2.43
2018-12-03,PAPA AMARILLA,2.65
2018-12-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.85
2018-12-03,PAPA HUAMANTANGA,1.54
2018-12-03,PAPA PERUANITA (INJERTO),2.5
2018-12-04,PAPA AMARILLA,2.63
2018-12-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.85
2018-12-04,PAPA HUAMANTANGA,1.68
2018-12-04,PAPA PERUANITA (INJERTO),2.45
2018-12-05,PAPA AMARILLA,2.65
2018-12-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.8
2018-12-05,PAPA HUAMANTANGA,1.78
2018-12-05,PAPA PERUANITA (INJERTO),2.6
2018-12-06,PAPA AMARILLA,2.65
2018-12-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.85
2018-12-06,PAPA HUAMANTANGA,2.0
2018-12-06,PAPA PERUANITA (INJERTO),2.64
2018-12-07,PAPA AMARILLA,2.65
2018-12-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.95
2018-12-07,PAPA HUAMANTANGA,2.0
2018-12-07,PAPA PERUANITA (INJERTO),2.6
2018-12-08,PAPA AMARILLA,3.0
2018-12-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.98
2018-12-08,PAPA HUAMANTANGA,2.15
2018-12-08,PAPA PERUANITA (INJERTO),2.63
2018-12-09,PAPA AMARILLA,3.0
2018-12-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.98
2018-12-09,PAPA HUAMANTANGA,2.15
2018-12-09,PAPA PERUANITA (INJERTO),2.63
2018-12-10,PAPA AMARILLA,3.35
2018-12-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.0
2018-12-10,PAPA HUAMANTANGA,2.3
2018-12-10,PAPA PERUANITA (INJERTO),2.65
2018-12-11,PAPA AMARILLA,3.45
2018-12-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.9
2018-12-11,PAPA HUAMANTANGA,2.55
2018-12-11,PAPA PERUANITA (INJERTO),2.85
2018-12-12,PAPA AMARILLA,3.45
2018-12-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.9
2018-12-12,PAPA HUAMANTANGA,2.45
2018-12-12,PAPA PERUANITA (INJERTO),3.0
2018-12-13,PAPA AMARILLA,3.28
2018-12-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.8
2018-12-13,PAPA HUAMANTANGA,2.45
2018-12-13,PAPA PERUANITA (INJERTO),2.88
2018-12-14,PAPA AMARILLA,2.93
2018-12-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.85
2018-12-14,PAPA HUAMANTANGA,2.65
2018-12-14,PAPA PERUANITA (INJERTO),2.73
2018-12-15,PAPA AMARILLA,3.0
2018-12-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.73
2018-12-15,PAPA HUAMANTANGA,2.65
2018-12-15,PAPA PERUANITA (INJERTO),2.7
2018-12-16,PAPA AMARILLA,3.2
2018-12-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.73
2018-12-16,PAPA HUAMANTANGA,2.65
2018-12-16,PAPA PERUANITA (INJERTO),2.7
2018-12-17,PAPA AMARILLA,3.0
