dates,producto,precio_mean
2020-02-02,PAPA NEGRA ANDINA,0.85
2020-02-02,PAPA YUNGAY,0.65
2020-02-02,PAPA UNICA,1.0
2020-02-02,PAPA CANCHAN,0.85
2020-02-03,PAPA BLANCA/VALLE/OTROS,0.65
2020-02-03,PAPA COLOR/VALLE/OTROS,0.93
2020-02-03,PAPA NEGRA ANDINA,0.83
2020-02-03,PAPA YUNGAY,0.65
2020-02-03,PAPA UNICA,0.99
2020-02-03,PAPA CANCHAN,0.85
2020-02-04,PAPA BLANCA/VALLE/OTROS,0.65
2020-02-04,PAPA COLOR/VALLE/OTROS,0.93
2020-02-04,PAPA NEGRA ANDINA,0.8
2020-02-04,PAPA YUNGAY,0.65
2020-02-04,PAPA UNICA,0.95
2020-02-04,PAPA CANCHAN,0.85
2020-02-05,PAPA BLANCA/VALLE/OTROS,0.65
2020-02-05,PAPA COLOR/VALLE/OTROS,0.93
2020-02-05,PAPA NEGRA ANDINA,0.8
2020-02-05,PAPA YUNGAY,0.65
2020-02-05,PAPA UNICA,0.95
2020-02-05,PAPA CANCHAN,0.85
2020-02-06,PAPA BLANCA/VALLE/OTROS,0.65
2020-02-06,PAPA COLOR/VALLE/OTROS,0.93
2020-02-06,PAPA NEGRA ANDINA,0.76
2020-02-06,PAPA YUNGAY,0.65
2020-02-06,PAPA UNICA,0.95
2020-02-06,PAPA CANCHAN,0.85
2020-02-07,PAPA BLANCA/VALLE/OTROS,0.65
2020-02-07,PAPA COLOR/VALLE/OTROS,0.93
2020-02-07,PAPA NEGRA ANDINA,0.76
2020-02-07,PAPA YUNGAY,0.64
2020-02-07,PAPA UNICA,0.95
2020-02-07,PAPA CANCHAN,0.85
2020-02-08,PAPA BLANCA/VALLE/OTROS,0.65
2020-02-08,PAPA COLOR/VALLE/OTROS,0.9
2020-02-08,PAPA NEGRA ANDINA,0.76
2020-02-08,PAPA YUNGAY,0.65
2020-02-08,PAPA UNICA,0.95
2020-02-08,PAPA CANCHAN,0.85
2020-02-09,PAPA BLANCA/VALLE/OTROS,0.65
2020-02-09,PAPA COLOR/VALLE/OTROS,0.85
2020-02-09,PAPA NEGRA ANDINA,0.75
2020-02-09,PAPA YUNGAY,0.65
2020-02-09,PAPA UNICA,0.95
2020-02-09,PAPA CANCHAN,0.85
2020-02-10,PAPA BLANCA/VALLE/OTROS,0.64
2020-02-10,PAPA COLOR/VALLE/OTROS,0.9
2020-02-10,PAPA NEGRA ANDINA,0.76
2020-02-10,PAPA YUNGAY,0.73
2020-02-10,PAPA UNICA,0.93
2020-02-10,PAPA CANCHAN,0.88
2020-02-11,PAPA BLANCA/VALLE/OTROS,0.63
2020-02-11,PAPA COLOR/VALLE/OTROS,0.9
2020-02-11,PAPA NEGRA ANDINA,0.76
2020-02-11,PAPA YUNGAY,0.63
2020-02-11,PAPA UNICA,0.9
2020-02-11,PAPA CANCHAN,0.85
2020-02-12,PAPA BLANCA/VALLE/OTROS,0.63
2020-02-12,PAPA COLOR/VALLE/OTROS,0.9
2020-02-12,PAPA NEGRA ANDINA,0.76
2020-02-12,PAPA YUNGAY,0.6
2020-02-12,PAPA UNICA,0.9
2020-02-12,PAPA CANCHAN,0.85
2020-02-13,PAPA BLANCA/VALLE/OTROS,0.61
2020-02-13,PAPA COLOR/VALLE/OTROS,0.85
2020-02-13,PAPA NEGRA ANDINA,0.75
2020-02-13,PAPA YUNGAY,0.59
2020-02-13,PAPA UNICA,0.9
2020-02-13,PAPA CANCHAN,0.85
2020-02-14,PAPA BLANCA/VALLE/OTROS,0.61
2020-02-14,PAPA COLOR/VALLE/OTROS,0.85
2020-02-14,PAPA NEGRA ANDINA,0.76
2020-02-14,PAPA YUNGAY,0.55
2020-02-14,PAPA UNICA,0.93
2020-02-14,PAPA CANCHAN,0.85
2020-02-15,PAPA BLANCA/VALLE/OTROS,0.61
2020-02-15,PAPA COLOR/VALLE/OTROS,0.85
2020-02-15,PAPA NEGRA ANDINA,0.76
2020-02-15,PAPA YUNGAY,0.56
2020-02-15,PAPA UNICA,0.93
2020-02-15,PAPA CANCHAN,0.85
2020-02-16,PAPA BLANCA/VALLE/OTROS,0.6
2020-02-16,PAPA COLOR/VALLE/OTROS,0.85
2020-02-16,PAPA NEGRA ANDINA,0.78
2020-02-16,PAPA YUNGAY,0.58
2020-02-16,PAPA UNICA,0.95
2020-02-16,PAPA CANCHAN,0.85
2020-02-17,PAPA BLANCA/VALLE/OTROS,0.65
2020-02-17,PAPA COLOR/VALLE/OTROS,0.85
2020-02-17,PAPA NEGRA ANDINA,0.76
2020-02-17,PAPA YUNGAY,0.55
2020-02-17,PAPA UNICA,0.93
2020-02-17,PAPA CANCHAN,0.85
2020-02-18,PAPA BLANCA/VALLE/OTROS,0.65
2020-02-18,PAPA COLOR/VALLE/OTROS,1.1
2020-02-18,PAPA NEGRA ANDINA,0.76
2020-02-18,PAPA YUNGAY,0.56
2020-02-18,PAPA UNICA,0.95
2020-02-18,PAPA CANCHAN,0.9
2020-02-19,PAPA BLANCA/VALLE/OTROS,0.63
2020-02-19,PAPA COLOR/VALLE/OTROS,1.1
2020-02-19,PAPA NEGRA ANDINA,0.76
2020-02-19,PAPA YUNGAY,0.55
2020-02-19,PAPA UNICA,0.95
2020-02-19,PAPA CANCHAN,0.88
2020-02-20,PAPA BLANCA/VALLE/OTROS,0.61
2020-02-20,PAPA COLOR/VALLE/OTROS,1.05
2020-02-20,PAPA NEGRA ANDINA,0.75
2020-02-20,PAPA YUNGAY,0.56
2020-02-20,PAPA UNICA,0.98
2020-02-20,PAPA CANCHAN,0.85
2020-02-21,PAPA BLANCA/VALLE/OTROS,0.6
2020-02-21,PAPA COLOR/VALLE/OTROS,1.05
2020-02-21,PAPA NEGRA ANDINA,0.75
2020-02-21,PAPA YUNGAY,0.56
