dates,producto,precio_mean
2014-01-13,PAPA BLANCA/VALLE/OTROS,0.46
2014-01-13,PAPA COLOR/VALLE/OTROS,0.48
2014-01-13,PAPA NEGRA ANDINA,0.65
2014-01-13,PAPA YUNGAY,0.51
2014-01-13,PAPA UNICA,0.49
2014-01-13,PAPA CANCHAN,0.49
2014-01-14,PAPA BLANCA/VALLE/OTROS,0.5
2014-01-14,PAPA COLOR/VALLE/OTROS,0.5
2014-01-14,PAPA NEGRA ANDINA,0.61
2014-01-14,PAPA YUNGAY,0.58
2014-01-14,PAPA UNICA,0.51
2014-01-14,PAPA CANCHAN,0.5
2014-01-15,PAPA BLANCA/VALLE/OTROS,0.45
2014-01-15,PAPA COLOR/VALLE/OTROS,0.5
2014-01-15,PAPA NEGRA ANDINA,0.63
2014-01-15,PAPA YUNGAY,0.49
2014-01-15,PAPA UNICA,0.54
2014-01-15,PAPA CANCHAN,0.48
2014-01-16,PAPA BLANCA/VALLE/OTROS,0.41
2014-01-16,PAPA COLOR/VALLE/OTROS,0.54
2014-01-16,PAPA NEGRA ANDINA,0.61
2014-01-16,PAPA YUNGAY,0.45
2014-01-16,PAPA UNICA,0.53
2014-01-16,PAPA CANCHAN,0.56
2014-01-17,PAPA BLANCA/VALLE/OTROS,0.43
2014-01-17,PAPA COLOR/VALLE/OTROS,0.55
2014-01-17,PAPA NEGRA ANDINA,0.59
2014-01-17,PAPA YUNGAY,0.44
2014-01-17,PAPA UNICA,0.53
2014-01-17,PAPA CANCHAN,0.58
2014-01-18,PAPA BLANCA/VALLE/OTROS,0.43
2014-01-18,PAPA COLOR/VALLE/OTROS,0.52
2014-01-18,PAPA NEGRA ANDINA,0.64
2014-01-18,PAPA YUNGAY,0.51
2014-01-18,PAPA UNICA,0.51
2014-01-18,PAPA CANCHAN,0.51
2014-01-19,PAPA BLANCA/VALLE/OTROS,0.4
2014-01-19,PAPA COLOR/VALLE/OTROS,0.55
2014-01-19,PAPA NEGRA ANDINA,0.62
2014-01-19,PAPA YUNGAY,0.47
2014-01-19,PAPA UNICA,0.55
2014-01-19,PAPA CANCHAN,0.52
2014-01-20,PAPA BLANCA/VALLE/OTROS,0.38
2014-01-20,PAPA COLOR/VALLE/OTROS,0.55
2014-01-20,PAPA NEGRA ANDINA,0.59
2014-01-20,PAPA YUNGAY,0.43
2014-01-20,PAPA UNICA,0.6
2014-01-20,PAPA CANCHAN,0.53
2014-01-21,PAPA BLANCA/VALLE/OTROS,0.42
2014-01-21,PAPA COLOR/VALLE/OTROS,0.59
2014-01-21,PAPA NEGRA ANDINA,0.63
2014-01-21,PAPA YUNGAY,0.46
2014-01-21,PAPA UNICA,0.54
2014-01-21,PAPA CANCHAN,0.64
2014-01-22,PAPA BLANCA/VALLE/OTROS,0.4
2014-01-22,PAPA COLOR/VALLE/OTROS,0.63
2014-01-22,PAPA NEGRA ANDINA,0.6
2014-01-22,PAPA YUNGAY,0.48
2014-01-22,PAPA UNICA,0.56
2014-01-22,PAPA CANCHAN,0.7
2014-01-23,PAPA BLANCA/VALLE/OTROS,0.45
2014-01-23,PAPA COLOR/VALLE/OTROS,0.56
2014-01-23,PAPA NEGRA ANDINA,0.58
2014-01-23,PAPA YUNGAY,0.44
2014-01-23,PAPA UNICA,0.54
2014-01-23,PAPA CANCHAN,0.56
2014-01-24,PAPA BLANCA/VALLE/OTROS,0.43
2014-01-24,PAPA COLOR/VALLE/OTROS,0.56
2014-01-24,PAPA NEGRA ANDINA,0.58
2014-01-24,PAPA YUNGAY,0.46
2014-01-24,PAPA UNICA,0.49
2014-01-24,PAPA CANCHAN,0.63
2014-01-25,PAPA BLANCA/VALLE/OTROS,0.43
2014-01-25,PAPA COLOR/VALLE/OTROS,0.6
2014-01-25,PAPA NEGRA ANDINA,0.56
2014-01-25,PAPA YUNGAY,0.45
2014-01-25,PAPA UNICA,0.63
2014-01-25,PAPA CANCHAN,0.58
2014-01-26,PAPA BLANCA/VALLE/OTROS,0.47
2014-01-26,PAPA COLOR/VALLE/OTROS,0.65
2014-01-26,PAPA NEGRA ANDINA,0.54
2014-01-26,PAPA YUNGAY,0.47
2014-01-26,PAPA UNICA,0.68
2014-01-26,PAPA CANCHAN,0.59
2014-01-27,PAPA BLANCA/VALLE/OTROS,0.5
2014-01-27,PAPA COLOR/VALLE/OTROS,0.67
2014-01-27,PAPA NEGRA ANDINA,0.51
