producto,year,month,day,precio_min,precio_max,precio_mean
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,12,1.5,2.1,1.75
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,12,2.0,3.0,2.5
PAPA AMARILLA,2022,5,12,1.4,1.9,1.65
PAPA BLANCA/VALLE/OTROS,2022,5,12,1.3,1.6,1.45
PAPA COLOR/VALLE/OTROS,2022,5,12,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,12,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,5,12,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,12,1.3,1.7,1.53
PAPA PERUANITA (INJERTO),2022,5,12,1.4,1.8,1.6
PAPA YUNGAY,2022,5,12,1.3,1.6,1.45
PAPA UNICA,2022,5,12,1.3,1.6,1.45
PAPA CANCHAN,2022,5,12,1.3,1.7,1.5
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,13,1.6,2.3,1.9
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,13,1.5,2.1,1.78
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,13,2.0,2.5,2.38
PAPA AMARILLA,2022,5,13,1.4,1.9,1.65
PAPA BLANCA/VALLE/OTROS,2022,5,13,1.3,1.6,1.45
PAPA COLOR/VALLE/OTROS,2022,5,13,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,13,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,5,13,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,13,1.4,1.7,1.55
PAPA PERUANITA (INJERTO),2022,5,13,1.4,1.8,1.6
PAPA YUNGAY,2022,5,13,1.3,1.6,1.45
PAPA UNICA,2022,5,13,1.3,1.6,1.45
PAPA CANCHAN,2022,5,13,1.3,1.6,1.45
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,14,1.6,2.3,1.9
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,14,1.6,2.1,1.8
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,14,1.5,2.0,1.75
PAPA AMARILLA,2022,5,14,1.5,1.9,1.7
PAPA BLANCA/VALLE/OTROS,2022,5,14,1.3,1.6,1.45
PAPA COLOR/VALLE/OTROS,2022,5,14,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,14,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,5,14,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,14,1.4,1.7,1.55
PAPA PERUANITA (INJERTO),2022,5,14,1.4,1.8,1.6
PAPA YUNGAY,2022,5,14,1.3,1.6,1.45
PAPA UNICA,2022,5,14,1.4,1.6,1.5
PAPA CANCHAN,2022,5,14,1.3,1.6,1.45
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,15,1.6,2.3,1.9
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,15,1.6,2.1,1.8
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,15,1.5,2.0,1.75
PAPA AMARILLA,2022,5,15,1.5,1.9,1.7
PAPA BLANCA/VALLE/OTROS,2022,5,15,1.3,1.6,1.45
PAPA COLOR/VALLE/OTROS,2022,5,15,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,15,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,5,15,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,15,1.4,1.7,1.55
PAPA PERUANITA (INJERTO),2022,5,15,1.4,1.8,1.6
PAPA YUNGAY,2022,5,15,1.3,1.6,1.45
PAPA UNICA,2022,5,15,1.4,1.6,1.5
