producto,year,month,day,precio_min,precio_max,precio_mean
PAPA COLOR/VALLE/OTROS,2016,4,30,0.6,0.75,0.69
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,30,0.9,1.0,0.96
PAPA HUAMANTANGA,2016,4,30,1.0,1.1,1.08
PAPA NEGRA ANDINA,2016,4,30,0.6,0.75,0.68
PAPA PERUANITA (INJERTO),2016,4,30,1.1,1.2,1.15
PAPA PERRICHOLI,2016,4,30,0.6,0.75,0.68
PAPA YUNGAY,2016,4,30,0.5,0.65,0.58
PAPA UNICA,2016,4,30,0.65,0.75,0.7
PAPA CANCHAN,2016,4,30,0.6,0.75,0.68
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,29,1.2,2.8,2.0
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,29,0.7,1.2,1.0
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,29,1.0,1.5,1.25
PAPA AMARILLA,2016,4,29,1.5,1.8,1.65
PAPA BLANCA/VALLE/OTROS,2016,4,29,0.5,0.7,0.6
PAPA COLOR/VALLE/OTROS,2016,4,29,0.6,0.8,0.7
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,29,0.9,1.0,0.96
PAPA HUAMANTANGA,2016,4,29,1.0,1.2,1.1
PAPA NEGRA ANDINA,2016,4,29,0.6,0.75,0.68
PAPA PERUANITA (INJERTO),2016,4,29,1.05,1.2,1.11
PAPA PERRICHOLI,2016,4,29,0.55,0.7,0.63
PAPA YUNGAY,2016,4,29,0.5,0.65,0.58
PAPA UNICA,2016,4,29,0.65,0.75,0.7
PAPA CANCHAN,2016,4,29,0.6,0.8,0.7
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,28,1.2,2.8,2.0
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,28,0.7,1.2,1.0
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,28,1.0,1.5,1.25
PAPA AMARILLA,2016,4,28,1.5,1.8,1.65
PAPA BLANCA/VALLE/OTROS,2016,4,28,0.55,0.75,0.65
PAPA COLOR/VALLE/OTROS,2016,4,28,0.6,0.9,0.74
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,28,0.9,1.0,0.96
PAPA HUAMANTANGA,2016,4,28,1.0,1.1,1.05
PAPA NEGRA ANDINA,2016,4,28,0.6,0.8,0.71
PAPA PERUANITA (INJERTO),2016,4,28,1.2,1.4,1.3
PAPA PERRICHOLI,2016,4,28,0.6,0.75,0.68
PAPA YUNGAY,2016,4,28,0.55,0.7,0.63
PAPA UNICA,2016,4,28,0.65,0.8,0.73
PAPA CANCHAN,2016,4,28,0.6,0.9,0.75
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,27,1.2,2.8,2.0
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,27,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,27,1.5,2.0,1.7
PAPA AMARILLA,2016,4,27,1.6,1.8,1.7
PAPA BLANCA/VALLE/OTROS,2016,4,27,0.55,0.7,0.64
PAPA COLOR/VALLE/OTROS,2016,4,27,0.6,0.85,0.73
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,27,0.9,1.0,0.96
PAPA HUAMANTANGA,2016,4,27,1.0,1.2,1.1
PAPA NEGRA ANDINA,2016,4,27,0.6,0.85,0.75
PAPA PERUANITA (INJERTO),2016,4,27,1.2,1.4,1.3
PAPA PERRICHOLI,2016,4,27,0.6,0.7,0.65
PAPA YUNGAY,2016,4,27,0.55,0.7,0.63
PAPA UNICA,2016,4,27,0.65,0.85,0.76
PAPA CANCHAN,2016,4,27,0.6,0.8,0.71
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,26,1.2,2.8,2.0
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,26,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,26,1.0,1.5,1.25
PAPA AMARILLA,2016,4,26,1.6,1.8,1.73
PAPA BLANCA/VALLE/OTROS,2016,4,26,0.6,0.8,0.69
PAPA COLOR/VALLE/OTROS,2016,4,26,0.6,0.85,0.73
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,26,0.9,1.1,1.0
PAPA HUAMANTANGA,2016,4,26,1.0,1.3,1.13
PAPA NEGRA ANDINA,2016,4,26,0.6,0.9,0.75
PAPA PERUANITA (INJERTO),2016,4,26,1.2,1.4,1.3
PAPA PERRICHOLI,2016,4,26,0.6,0.75,0.68
PAPA YUNGAY,2016,4,26,0.6,0.8,0.71
PAPA UNICA,2016,4,26,0.65,0.85,0.76
PAPA CANCHAN,2016,4,26,0.6,0.8,0.71
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,25,1.2,2.8,2.0
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,25,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,25,1.0,1.5,1.3
PAPA AMARILLA,2016,4,25,1.6,1.8,1.73
PAPA BLANCA/VALLE/OTROS,2016,4,25,0.6,0.8,0.68
PAPA COLOR/VALLE/OTROS,2016,4,25,0.6,0.85,0.71
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,25,0.9,1.0,0.96
PAPA HUAMANTANGA,2016,4,25,1.0,1.2,1.1
PAPA NEGRA ANDINA,2016,4,25,0.6,0.9,0.75
PAPA PERUANITA (INJERTO),2016,4,25,1.2,1.5,1.35
PAPA PERRICHOLI,2016,4,25,0.6,0.8,0.7
PAPA YUNGAY,2016,4,25,0.6,0.7,0.65
PAPA UNICA,2016,4,25,0.6,0.8,0.7
PAPA CANCHAN,2016,4,25,0.6,0.85,0.75
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,24,1.2,2.7,1.98
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,24,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,24,1.0,1.5,1.25
PAPA AMARILLA,2016,4,24,1.7,2.0,1.85
PAPA BLANCA/VALLE/OTROS,2016,4,24,0.6,0.85,0.73
PAPA COLOR/VALLE/OTROS,2016,4,24,0.65,1.0,0.83
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,24,0.95,1.05,1.0
PAPA HUAMANTANGA,2016,4,24,1.0,1.2,1.1
PAPA NEGRA ANDINA,2016,4,24,0.6,0.95,0.81
PAPA PERUANITA (INJERTO),2016,4,24,1.3,1.45,1.38
PAPA PERRICHOLI,2016,4,24,0.7,0.85,0.78
PAPA YUNGAY,2016,4,24,0.6,0.8,0.7
PAPA UNICA,2016,4,24,0.75,1.0,0.86
PAPA CANCHAN,2016,4,24,0.65,0.9,0.8
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,23,1.2,2.7,1.98
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,23,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,23,1.0,1.5,1.25
PAPA AMARILLA,2016,4,23,1.7,2.0,1.85
PAPA BLANCA/VALLE/OTROS,2016,4,23,0.6,0.85,0.73
PAPA COLOR/VALLE/OTROS,2016,4,23,0.65,1.0,0.83
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,23,0.95,1.05,1.0
PAPA HUAMANTANGA,2016,4,23,1.0,1.2,1.1
PAPA NEGRA ANDINA,2016,4,23,0.6,0.95,0.81
PAPA PERUANITA (INJERTO),2016,4,23,1.3,1.45,1.38
PAPA PERRICHOLI,2016,4,23,0.7,0.85,0.78
PAPA YUNGAY,2016,4,23,0.6,0.8,0.7
PAPA UNICA,2016,4,23,0.75,1.0,0.86
PAPA CANCHAN,2016,4,23,0.65,0.9,0.8
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,22,1.2,2.7,1.85
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,22,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,22,1.5,1.8,1.65
PAPA AMARILLA,2016,4,22,1.7,2.0,1.85
PAPA BLANCA/VALLE/OTROS,2016,4,22,0.6,0.8,0.69
PAPA COLOR/VALLE/OTROS,2016,4,22,0.65,1.0,0.83
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,22,0.9,1.1,1.0
PAPA HUAMANTANGA,2016,4,22,1.0,1.2,1.1
PAPA NEGRA ANDINA,2016,4,22,0.65,0.9,0.76
PAPA PERUANITA (INJERTO),2016,4,22,1.3,1.45,1.38
PAPA PERRICHOLI,2016,4,22,0.6,0.7,0.66
PAPA YUNGAY,2016,4,22,0.65,0.8,0.73
PAPA UNICA,2016,4,22,0.8,1.0,0.9
PAPA CANCHAN,2016,4,22,0.65,0.85,0.76
CEBOLLA CABEZA BLANCA NACIONAL,2016,4,21,1.2,2.7,1.8
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2016,4,21,0.7,1.3,1.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2016,4,21,1.2,2.0,1.55
PAPA AMARILLA,2016,4,21,1.6,2.0,1.78
PAPA BLANCA/VALLE/OTROS,2016,4,21,0.65,0.8,0.74
PAPA COLOR/VALLE/OTROS,2016,4,21,0.7,0.95,0.83
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016,4,21,0.9,1.1,1.0
PAPA HUAMANTANGA,2016,4,21,1.0,1.15,1.09
PAPA NEGRA ANDINA,2016,4,21,0.65,1.0,0.84
PAPA PERUANITA (INJERTO),2016,4,21,1.2,1.4,1.31
PAPA PERRICHOLI,2016,4,21,0.7,0.8,0.75
PAPA YUNGAY,2016,4,21,0.65,0.8,0.73
PAPA UNICA,2016,4,21,0.75,0.95,0.84
