producto,year,month,day,precio_min,precio_max,precio_mean,date
PAPA BLANCA/VALLE/OTROS,2022,5,20,1.4,1.8,1.58,2022-05-20
PAPA COLOR/VALLE/OTROS,2022,5,20,1.5,1.8,1.65,2022-05-20
PAPA NEGRA ANDINA,2022,5,20,1.4,1.8,1.6,2022-05-20
PAPA YUNGAY,2022,5,20,1.4,1.8,1.6,2022-05-20
PAPA UNICA,2022,5,20,1.4,1.7,1.55,2022-05-20
PAPA CANCHAN,2022,5,20,1.4,1.7,1.55,2022-05-20
PAPA BLANCA/VALLE/OTROS,2022,5,21,1.4,1.8,1.58,2022-05-21
PAPA COLOR/VALLE/OTROS,2022,5,21,1.5,1.8,1.65,2022-05-21
PAPA NEGRA ANDINA,2022,5,21,1.4,1.8,1.6,2022-05-21
PAPA YUNGAY,2022,5,21,1.4,1.8,1.6,2022-05-21
PAPA UNICA,2022,5,21,1.4,1.7,1.55,2022-05-21
PAPA CANCHAN,2022,5,21,1.4,1.7,1.55,2022-05-21
PAPA BLANCA/VALLE/OTROS,2022,5,22,1.4,1.8,1.58,2022-05-22
PAPA COLOR/VALLE/OTROS,2022,5,22,1.5,1.8,1.65,2022-05-22
PAPA NEGRA ANDINA,2022,5,22,1.4,1.8,1.6,2022-05-22
PAPA YUNGAY,2022,5,22,1.4,1.8,1.6,2022-05-22
PAPA UNICA,2022,5,22,1.4,1.7,1.55,2022-05-22
PAPA CANCHAN,2022,5,22,1.4,1.7,1.55,2022-05-22
PAPA BLANCA/VALLE/OTROS,2022,5,23,1.45,1.8,1.59,2022-05-23
PAPA COLOR/VALLE/OTROS,2022,5,23,1.5,1.8,1.65,2022-05-23
PAPA NEGRA ANDINA,2022,5,23,1.5,1.8,1.65,2022-05-23
PAPA YUNGAY,2022,5,23,1.4,1.8,1.58,2022-05-23
PAPA UNICA,2022,5,23,1.4,1.7,1.55,2022-05-23
PAPA CANCHAN,2022,5,23,1.45,1.7,1.56,2022-05-23
PAPA BLANCA/VALLE/OTROS,2022,5,24,1.45,1.8,1.59,2022-05-24
PAPA COLOR/VALLE/OTROS,2022,5,24,1.5,1.8,1.65,2022-05-24
PAPA NEGRA ANDINA,2022,5,24,1.5,1.8,1.65,2022-05-24
PAPA YUNGAY,2022,5,24,1.4,1.8,1.58,2022-05-24
PAPA UNICA,2022,5,24,1.4,1.8,1.58,2022-05-24
PAPA CANCHAN,2022,5,24,1.45,1.7,1.56,2022-05-24
