"","PD04705XD"
"","Cotizaciones internacionales - Petróleo (West Texas Intermediate, US$ por barriles)"
29Dic98,11.76
30Dic98,11.79
31Dic98,12.09
01Ene99,n.d.
04Ene99,12.38
05Ene99,12.03
06Ene99,12.83
07Ene99,13.12
08Ene99,13.1
11Ene99,13.47
12Ene99,12.91
13Ene99,12.33
14Ene99,12.17
15Ene99,12.13
18Ene99,n.d.
19Ene99,12.1
20Ene99,11.81
21Ene99,12.36
22Ene99,12.6
25Ene99,12.32
26Ene99,12.08
27Ene99,12.33
28Ene99,12.47
29Ene99,12.76
01Feb99,12.38
02Feb99,12.31
03Feb99,12.39
04Feb99,12.02
05Feb99,11.81
08Feb99,11.67
09Feb99,11.69
10Feb99,11.76
11Feb99,11.86
12Feb99,11.89
15Feb99,n.d.
16Feb99,11.37
17Feb99,11.53
18Feb99,12.04
19Feb99,11.76
22Feb99,11.96
23Feb99,12.43
24Feb99,12.47
25Feb99,12.56
26Feb99,12.28
01Mar99,12.24
02Mar99,12.51
03Mar99,12.93
04Mar99,13.36
05Mar99,13.3
08Mar99,13.63
09Mar99,13.85
10Mar99,14.69
11Mar99,14.31
12Mar99,14.49
15Mar99,14.45
16Mar99,14.46
17Mar99,15.05
18Mar99,15
19Mar99,15.24
22Mar99,15.5
23Mar99,15.34
24Mar99,15.14
25Mar99,15.52
26Mar99,16.18
29Mar99,16.44
30Mar99,16.8
31Mar99,16.76
01Abr99,16.64
02Abr99,n.d.
05Abr99,16.95
06Abr99,16.82
07Abr99,16.03
08Abr99,15.83
09Abr99,16.57
12Abr99,16.4
13Abr99,16.72
14Abr99,16.47
15Abr99,16.87
16Abr99,17.33
19Abr99,17.8
20Abr99,17.78
21Abr99,18.08
22Abr99,18.43
23Abr99,18.24
26Abr99,17.66
27Abr99,17.81
28Abr99,18.45
29Abr99,18.53
30Abr99,18.66
03May99,18.85
04May99,18.93
05May99,18.98
06May99,18.33
07May99,18.23
10May99,18.51
11May99,18.07
12May99,17.57
13May99,18.03
14May99,18.04
17May99,17.95
18May99,17.12
19May99,16.88
20May99,17.03
21May99,17.23
24May99,16.88
25May99,17.06
26May99,17.35
27May99,17.17
28May99,16.84
31May99,n.d.
01Jun99,16.34
02Jun99,16.66
03Jun99,16.75
04Jun99,17.33
07Jun99,17.87
08Jun99,17.67
09Jun99,17.99
10Jun99,17.86
11Jun99,18.44
14Jun99,18.34
15Jun99,18.55
16Jun99,17.95
17Jun99,18.19
18Jun99,17.99
21Jun99,17.71
22Jun99,17.61
23Jun99,18.23
24Jun99,18.05
25Jun99,18.09
28Jun99,18.23
29Jun99,18.44
30Jun99,19.29
01Jul99,19.39
02Jul99,19.69
05Jul99,n.d.
06Jul99,19.78
07Jul99,19.77
08Jul99,19.71
09Jul99,19.94
12Jul99,19.91
13Jul99,20.15
14Jul99,19.92
15Jul99,20.16
16Jul99,20.62
19Jul99,20.44
20Jul99,19.37
21Jul99,19.38
22Jul99,19.71
23Jul99,20.49
26Jul99,20.52
27Jul99,20.38
28Jul99,20.54
29Jul99,20.97
30Jul99,20.53
02Ago99,20.45
03Ago99,20.3
04Ago99,20.44
05Ago99,20.56
06Ago99,20.88
09Ago99,21.27
10Ago99,21.3
11Ago99,21.52
12Ago99,21.48
13Ago99,21.67
16Ago99,21.36
17Ago99,21.74
18Ago99,21.52
19Ago99,21.77
20Ago99,21.65
23Ago99,21.61
24Ago99,21.2
25Ago99,20.41
26Ago99,20.95
27Ago99,21.27
30Ago99,22.01
31Ago99,22.11
01Set99,21.99
02Set99,21.49
03Set99,22
06Set99,n.d.
07Set99,22.61
08Set99,22.66
09Set99,23.2
10Set99,23.55
13Set99,24.21
14Set99,23.86
15Set99,24.13
16Set99,24.52
17Set99,24.73
20Set99,24.3
21Set99,24.47
22Set99,24.7
23Set99,25.46
24Set99,25.36
27Set99,24.61
28Set99,24.33
29Set99,24.69
30Set99,24.51
01Oct99,24.54
04Oct99,23.76
05Oct99,23.45
06Oct99,23.27
07Oct99,22.45
08Oct99,20.9
11Oct99,21.27
12Oct99,22.3
13Oct99,23.06
14Oct99,22.45
15Oct99,22.82
18Oct99,22.53
19Oct99,22.22
20Oct99,22.2
21Oct99,22.32
22Oct99,23.19
25Oct99,23.18
26Oct99,23.19
27Oct99,22.92
28Oct99,21.68
29Oct99,21.75
01Nov99,22.51
02Nov99,22.39
03Nov99,22.56
04Nov99,23.14
05Nov99,23
08Nov99,23.27
09Nov99,24.03
10Nov99,24.47
11Nov99,24.33
12Nov99,24.91
15Nov99,25.13
16Nov99,25.7
17Nov99,26.6
18Nov99,25.8
19Nov99,26.56
22Nov99,27.92
23Nov99,26.81
24Nov99,27.37
25Nov99,n.d.
26Nov99,n.d.
29Nov99,25.96
30Nov99,24.59
01Dic99,25
02Dic99,25.82
03Dic99,25.81
06Dic99,26.66
07Dic99,26.22
08Dic99,26.54
09Dic99,26.15
10Dic99,25.23
13Dic99,25.38
14Dic99,25.73
15Dic99,26.36
16Dic99,26.83
17Dic99,26.74
20Dic99,26.54
21Dic99,26.16
22Dic99,25.5
23Dic99,25.72
24Dic99,n.d.
27Dic99,26.33
28Dic99,26.82
29Dic99,26.47
30Dic99,25.6
31Dic99,n.d.
03Ene00,n.d.
04Ene00,25.55
05Ene00,24.91
06Ene00,24.78
07Ene00,24.22
10Ene00,24.67
11Ene00,25.77
12Ene00,26.28
13Ene00,26.69
14Ene00,28.02
17Ene00,n.d.
18Ene00,28.85
19Ene00,29.54
20Ene00,29.66
21Ene00,29.8
24Ene00,29.42
25Ene00,29.86
26Ene00,27.84
27Ene00,27.32
28Ene00,27.22
31Ene00,27.64
01Feb00,28.22
02Feb00,27.56
03Feb00,28.03
04Feb00,28.82
07Feb00,28.45
08Feb00,28.02
09Feb00,28.77
10Feb00,29.44
11Feb00,29.44
14Feb00,30.25
15Feb00,30.06
16Feb00,30.05
17Feb00,29.46
18Feb00,29.51
21Feb00,n.d.
22Feb00,29.62
23Feb00,30.29
24Feb00,30.32
25Feb00,30.23
28Feb00,30.13
29Feb00,30.43
01Mar00,31.77
02Mar00,31.69
03Mar00,31.51
06Mar00,32.18
07Mar00,34.13
08Mar00,31.26
09Mar00,31.69
10Mar00,31.76
13Mar00,32.02
14Mar00,31.69
15Mar00,30.72
16Mar00,31.09
17Mar00,30.91
20Mar00,29.44
21Mar00,28
22Mar00,27.49
23Mar00,27.21
24Mar00,27.97
27Mar00,27.79
28Mar00,27.09
29Mar00,26.45
30Mar00,26.7
31Mar00,26.9
03Abr00,26.43
04Abr00,25.47
05Abr00,25.85
06Abr00,25.74
07Abr00,25.09
10Abr00,23.9
11Abr00,24.18
12Abr00,25.48
13Abr00,25.44
14Abr00,25.62
17Abr00,25.94
18Abr00,26.14
19Abr00,27.36
20Abr00,27.28
21Abr00,n.d.
24Abr00,27.44
25Abr00,26.73
26Abr00,24.66
27Abr00,25.42
28Abr00,25.74
01May00,25.89
02May00,26.91
03May00,26.76
04May00,26.98
05May00,27.29
08May00,28.09
09May00,28.67
10May00,28.12
11May00,29.13
12May00,29.64
15May00,29.94
16May00,29.74
17May00,29.33
18May00,30.33
19May00,29.6
22May00,28.61
23May00,28.62
24May00,29.78
25May00,30.31
26May00,30
29May00,n.d.
30May00,30.35
31May00,29.01
01Jun00,30.14
02Jun00,30.36
05Jun00,29.7
06Jun00,29.75
07Jun00,29.95
08Jun00,29.78
09Jun00,30.2
12Jun00,31.74
13Jun00,32.56
14Jun00,32.85
15Jun00,32.95
16Jun00,32.33
19Jun00,31.69
20Jun00,33.05
21Jun00,33.81
22Jun00,34.62
23Jun00,34.65
26Jun00,31.63
27Jun00,32.06
28Jun00,31.9
29Jun00,32.72
30Jun00,32.5
03Jul00,n.d.
04Jul00,n.d.
05Jul00,30.67
06Jul00,29.99
07Jul00,30.28
10Jul00,29.69
11Jul00,29.7
12Jul00,30.32
13Jul00,31.47
14Jul00,31.4
17Jul00,30.83
18Jul00,31.94
19Jul00,31.42
20Jul00,30.93
21Jul00,28.56
24Jul00,27.87
25Jul00,27.85
26Jul00,27.81
27Jul00,28.02
28Jul00,28.18
31Jul00,27.43
01Ago00,27.79
02Ago00,28.27
03Ago00,28.66
04Ago00,29.96
07Ago00,28.91
08Ago00,29.12
09Ago00,30.35
10Ago00,31.34
11Ago00,31.02
14Ago00,31.94
15Ago00,31.67
16Ago00,31.8
17Ago00,31.94
18Ago00,31.99
21Ago00,32.47
22Ago00,31.75
23Ago00,32.4
24Ago00,32.63
25Ago00,34.03
28Ago00,32.87
29Ago00,32.74
30Ago00,33.32
31Ago00,33.12
01Set00,33.38
04Set00,n.d.
05Set00,33.83
06Set00,34.9
07Set00,35.39
08Set00,33.63
11Set00,35.14
12Set00,34.28
13Set00,33.82
14Set00,34.07
15Set00,35.93
18Set00,36.89
19Set00,36.52
20Set00,37.21
21Set00,34.37
22Set00,32.6
25Set00,31.62
26Set00,31.5
27Set00,31.46
28Set00,30.34
29Set00,30.84
02Oct00,32.18
03Oct00,32.07
04Oct00,31.43
05Oct00,30.53
06Oct00,30.86
09Oct00,31.86
10Oct00,33.18
11Oct00,33.25
12Oct00,36.06
13Oct00,34.99
16Oct00,32.92
