dates,producto,precio_mean
2020-02-15,PAPA HUAMANTANGA,0.85
2020-02-15,PAPA PERUANITA (INJERTO),1.08
2020-02-16,PAPA AMARILLA,1.55
2020-02-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.9
2020-02-16,PAPA HUAMANTANGA,0.85
2020-02-16,PAPA PERUANITA (INJERTO),1.1
2020-02-17,PAPA AMARILLA,1.5
2020-02-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.9
2020-02-17,PAPA HUAMANTANGA,0.85
2020-02-17,PAPA PERUANITA (INJERTO),1.08
2020-02-18,PAPA AMARILLA,1.53
2020-02-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2020-02-18,PAPA HUAMANTANGA,0.9
2020-02-18,PAPA PERUANITA (INJERTO),1.05
2020-02-19,PAPA AMARILLA,1.48
2020-02-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.1
2020-02-19,PAPA HUAMANTANGA,0.93
2020-02-19,PAPA PERUANITA (INJERTO),1.05
2020-02-20,PAPA AMARILLA,1.5
2020-02-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2020-02-20,PAPA HUAMANTANGA,0.9
2020-02-20,PAPA PERUANITA (INJERTO),1.08
2020-02-21,PAPA AMARILLA,1.5
2020-02-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2020-02-21,PAPA HUAMANTANGA,0.9
2020-02-21,PAPA PERUANITA (INJERTO),1.05
2020-02-22,PAPA AMARILLA,1.5
2020-02-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.95
2020-02-22,PAPA HUAMANTANGA,0.95
2020-02-22,PAPA PERUANITA (INJERTO),1.0
2020-02-23,PAPA AMARILLA,1.5
2020-02-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.9
2020-02-23,PAPA HUAMANTANGA,0.95
2020-02-23,PAPA PERUANITA (INJERTO),1.0
2020-02-24,PAPA AMARILLA,1.5
2020-02-24,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-02-24,PAPA HUAMANTANGA,0.95
2020-02-24,PAPA PERUANITA (INJERTO),0.95
2020-02-25,PAPA AMARILLA,1.5
2020-02-25,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2020-02-25,PAPA HUAMANTANGA,0.95
2020-02-25,PAPA PERUANITA (INJERTO),0.95
2020-02-26,PAPA AMARILLA,1.48
2020-02-26,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.89
2020-02-26,PAPA HUAMANTANGA,0.85
2020-02-26,PAPA PERUANITA (INJERTO),0.98
2020-02-27,PAPA AMARILLA,1.45
2020-02-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.88
2020-02-27,PAPA HUAMANTANGA,0.85
2020-02-27,PAPA PERUANITA (INJERTO),0.95
2020-02-28,PAPA AMARILLA,1.45
2020-02-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.85
2020-02-28,PAPA HUAMANTANGA,0.88
2020-02-28,PAPA PERUANITA (INJERTO),0.95
2020-02-29,PAPA AMARILLA,1.45
2020-02-29,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.85
2020-02-29,PAPA HUAMANTANGA,0.88
2020-02-29,PAPA PERUANITA (INJERTO),0.95
2020-03-01,PAPA AMARILLA,1.5
2020-03-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.9
2020-03-01,PAPA HUAMANTANGA,0.9
2020-03-01,PAPA PERUANITA (INJERTO),0.95
2020-03-02,PAPA AMARILLA,1.3
2020-03-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-03-02,PAPA HUAMANTANGA,1.0
2020-03-02,PAPA PERUANITA (INJERTO),1.2
2020-03-03,PAPA AMARILLA,1.35
2020-03-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-03-03,PAPA HUAMANTANGA,0.95
2020-03-03,PAPA PERUANITA (INJERTO),1.25
2020-03-04,PAPA AMARILLA,1.48
2020-03-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2020-03-04,PAPA HUAMANTANGA,1.0
2020-03-04,PAPA PERUANITA (INJERTO),1.15
2020-03-05,PAPA AMARILLA,1.48
2020-03-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-03-05,PAPA HUAMANTANGA,1.1
2020-03-05,PAPA PERUANITA (INJERTO),1.3
2020-03-06,PAPA AMARILLA,1.48
2020-03-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2020-03-06,PAPA HUAMANTANGA,1.08
2020-03-06,PAPA PERUANITA (INJERTO),1.3
2020-03-07,PAPA AMARILLA,1.48
2020-03-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-03-07,PAPA HUAMANTANGA,1.08
2020-03-07,PAPA PERUANITA (INJERTO),1.3
2020-03-08,PAPA AMARILLA,1.48
2020-03-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-03-08,PAPA HUAMANTANGA,1.08
2020-03-08,PAPA PERUANITA (INJERTO),1.3
2020-03-09,PAPA AMARILLA,1.4
2020-03-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.01
2020-03-09,PAPA HUAMANTANGA,1.03
2020-03-09,PAPA PERUANITA (INJERTO),1.2
2020-03-10,PAPA AMARILLA,1.25
2020-03-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.95
2020-03-10,PAPA HUAMANTANGA,0.96
2020-03-10,PAPA PERUANITA (INJERTO),1.2
2020-03-11,PAPA AMARILLA,1.2
2020-03-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-03-11,PAPA HUAMANTANGA,0.96
2020-03-11,PAPA PERUANITA (INJERTO),1.15
2020-03-12,PAPA AMARILLA,1.3
2020-03-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-03-12,PAPA HUAMANTANGA,0.95
2020-03-12,PAPA PERUANITA (INJERTO),1.15
2020-03-13,PAPA AMARILLA,1.23
2020-03-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.99
2020-03-13,PAPA HUAMANTANGA,0.95
2020-03-13,PAPA PERUANITA (INJERTO),1.15
2020-03-14,PAPA AMARILLA,1.28
2020-03-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-03-14,PAPA HUAMANTANGA,0.95
2020-03-14,PAPA PERUANITA (INJERTO),1.15
2020-03-15,PAPA AMARILLA,1.28
2020-03-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-03-15,PAPA HUAMANTANGA,0.95
2020-03-15,PAPA PERUANITA (INJERTO),1.15
2020-03-16,PAPA AMARILLA,1.4
2020-03-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-03-16,PAPA HUAMANTANGA,0.95
2020-03-16,PAPA PERUANITA (INJERTO),1.38
2020-03-17,PAPA AMARILLA,1.4
2020-03-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-03-17,PAPA HUAMANTANGA,0.95
2020-03-17,PAPA PERUANITA (INJERTO),1.35
2020-03-18,PAPA AMARILLA,1.4
2020-03-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-03-18,PAPA HUAMANTANGA,0.95
2020-03-18,PAPA PERUANITA (INJERTO),1.35
2020-03-19,PAPA AMARILLA,1.53
2020-03-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2020-03-19,PAPA HUAMANTANGA,1.1
2020-03-19,PAPA PERUANITA (INJERTO),1.55
2020-03-20,PAPA AMARILLA,1.53
2020-03-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2020-03-20,PAPA HUAMANTANGA,1.0
2020-03-20,PAPA PERUANITA (INJERTO),1.55
2020-03-21,PAPA AMARILLA,1.5
2020-03-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.3
2020-03-21,PAPA HUAMANTANGA,1.1
2020-03-21,PAPA PERUANITA (INJERTO),1.43
2020-03-22,PAPA AMARILLA,1.4
2020-03-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2020-03-22,PAPA HUAMANTANGA,1.1
2020-03-22,PAPA PERUANITA (INJERTO),1.4
2020-03-23,PAPA AMARILLA,1.5
2020-03-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.3
2020-03-23,PAPA HUAMANTANGA,1.1
2020-03-23,PAPA PERUANITA (INJERTO),1.43
2020-03-24,PAPA AMARILLA,1.5
2020-03-24,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.29
2020-03-24,PAPA HUAMANTANGA,1.1
2020-03-24,PAPA PERUANITA (INJERTO),1.43
2020-03-25,PAPA AMARILLA,1.35
